,title,author,release year,synopsis,book length,rating,number of ratings
313,Evvie Drake Starts Over (Hardcover),Linda  Holmes,2019,"In a sleepy seaside town in Maine, recently widowed Eveleth “Evvie” Drake rarely leaves her large, painfully empty house nearly a year after her husband’s death in a car crash. Everyone in town, even her best friend, Andy, thinks grief keeps her locked inside, and Evvie doesn’t correct them.Meanwhile, in New York City, Dean Tenney, former Major League pitcher and Andy’s ch",289,3.84,119436
314,"Love, Rosie (Paperback)",Cecelia Ahern,2004,"Rosie and Alex are destined for one another, and everyone seems to know it but them. Best friends since childhood, their relationship gets closer by the day, until Alex gets the news that his family is leaving Dublin and moving to Boston. At 17, Rosie and Alex have just started to see each other in a more romantic light. Devastated, the two make plans for Rosie to apply to",512,3.94,122412
315,"The Marriage Bargain (Marriage to a Billionaire, #1)",Jennifer Probst,2010,"A marriage in name only…To save her family home, impulsive bookstore owner, Alexa Maria McKenzie, casts a love spell. But she never planned on conjuring up her best friend’s older brother—the powerful man who once shattered her heart.Billionaire Nicholas Ryan doesn’t believe in marriage, but in order to inherit his father’s corporation, he needs a wife and needs one fast. ",212,3.8,109486
316,"A Week to Be Wicked (Spindle Cove, #2)",Tessa Dare,2012,"
When a devilish lord and a bluestocking set off on the road to ruin... time is not on their side.
Minerva Highwood, one of Spindle Cove's confirmed spinsters, needs to be in Scotland. Colin Sandhurst, Lord Payne, a rake of the first order, needs to be... anywhere but Spindle Cove.These unlikely partners have one week to• fake an elopement• convince family and friends th",356,4.11,31300
317,"Cold-Hearted Rake (The Ravenels, #1)",Lisa Kleypas,2015,"
A twist of fate.
Devon Ravenel, London's most wickedly charming rake, has just inherited an earldom. But his powerful new rank in society comes with unwanted responsibilities . . . and more than a few surprises. His estate is saddled with debt, and the late earl's three innocent sisters are still occupying the house—along with Kathleen, Lady Trenear, a beautiful young w",419,3.82,36409
318,Today Tonight Tomorrow (Hardcover),Rachel Lynn Solomon,2020,"The Hating Game meets Nick and Norah’s Infinite Playlist by way of Morgan Matson in this unforgettable romantic comedy about two rival overachievers whose relationship completely transforms over the course of twenty-four hours.Today, she hates him. It’s the last day of senior year. Rowan Roth and Neil McNair have been bitter rivals for all of high school, clashing on test ",364,4.17,45486
319,Every Summer After (Paperback),Carley Fortune,2022,"They say you can never go home again, and for Persephone Fraser, ever since she made the biggest mistake of her life a decade ago, that has felt too true. Instead of glittering summers on the lakeshore of her childhood, she spends them in a stylish apartment in the city, going out with friends, and keeping everyone a safe distance from her heart.Until she receives the call",313,4.34,150232
320,"Bed of Roses (Bride Quartet, #2)",Nora Roberts,2009,"Emmaline Grant has always loved romance, so it's really no surprise that she has found her calling as a wedding florist. And she gets to work with her best friends Mackensie, Parker and Laurel - she couldn't ask for a better job. Yet while men swarm around her, she still hasn't found Mr Right.",335,4.12,60829
321,"Something About You (FBI/US Attorney, #1)",Julie James,2010,"Fate has thrown two sworn enemies...Of all the hotel rooms rented by all the adulterous politicians in Chicago, female Assistant U.S. Attorney Cameron Lynde had to choose the one next to 1308, where some hot-and-heavy lovemaking ends with a death. And of all the FBI agents in Illinois, it had to be Special Agent Jack Pallas who gets assigned to this high-profile homicide. ",307,3.94,60302
322,Along for the Ride (Hardcover),Sarah Dessen,2009,"It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the charming beach town where they live.A job in a clothes boutique introduces Auden to the world of girls: their talk, their friendship, their crushes. She missed out on all that, ",383,4.04,200653
323,"Because of Miss Bridgerton (Rokesbys, #1)",Julia Quinn,2016,"Sometimes you find love in the most unexpected of places...This is not one of those times.Everyone expects Billie Bridgerton to marry one of the Rokesby brothers. The two families have been neighbors for centuries, and as a child the tomboyish Billie ran wild with Edward and Andrew. Either one would make a perfect husband... someday.Sometimes you fall in love with exactly ",375,3.94,46317
324,Meet Cute (Paperback),Helena Hunting,2019,"Talk about an embarrassing introduction. On her first day of law school, Kailyn ran quite literally into the actor she crushed on as a teenager, ending with him sprawled on top of her. Mortified to discover the Daxton Hughes was also a student in her class, her embarrassment over their meet-cute quickly turned into a friendship she never expected. Of course, she never saw ",384,3.73,42164
325,"The Right Swipe (Modern Love, #1)",Alisha Rai,2019,"Alisha Rai returns with the first book in her sizzling new Modern Love series, in which two rival dating app creators find themselves at odds in the boardroom but in sync in the bedroom.Rhiannon Hunter may have revolutionized romance in the digital world, but in real life she only swipes right on her career—and the occasional hookup. The cynical dating app creator controls",387,3.65,21234
326,"The Bride (Lairds' Fiancées, #1)",Julie Garwood,1989,"From New York Times bestselling author Julie Garwood, whose novels have enchanted millions of readers worldwide, comes a breathtakingly romantic novel about a mismatched young wife and husband who, despite their differences in background and temperament, fall inexorably in love. The Bride sweeps readers back to the savage beauty of medieval Scotland....  By the king's edic",352,4.23,62543
327,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",Kody Keplinger,2010,"Seventeen-year-old Bianca Piper is cynical and loyal, and she doesn't think she's the prettiest of her friends by a long shot. She's also way too smart to fall for the charms of man-slut and slimy school hottie Wesley Rush. In fact, Bianca hates him. And when he nicknames her ""the Duff,"" she throws her Coke in his face. But things aren't so great at home right now, and Bia",280,3.81,190279
328,"We'll Always Have Summer (Summer, #3)",Jenny Han,2011,"It's been two years since Conrad told Belly to go with Jeremiah. She and Jeremiah have been inseparable ever since, even attending the same college—only, their relationship hasn't exactly been the happily ever after Belly had hoped it would be. And when Jeremiah makes the worst mistake a boy can make, Belly is forced to question what she thought was true love. Does she rea",291,3.94,224027
329,"Angels' Blood (Guild Hunter, #1)",Nalini Singh,2009,"USA Today bestselling author Nalini Singh introduces a world of beauty and bloodlust, where angels hold sway over vampires… Vampire hunter Elena Deveraux knows she’s the best—but she doesn’t know if she’s good enough for this job. Hired by the dangerously beautiful Archangel Raphael, a being so lethal that no mortal wants his attention, only one thing is clear—failure is n",339,4.07,87377
330,"We'll Always Have Summer (Summer, #3)",Jenny Han,2011,"It's been two years since Conrad told Belly to go with Jeremiah. She and Jeremiah have been inseparable ever since, even attending the same college—only, their relationship hasn't exactly been the happily ever after Belly had hoped it would be. And when Jeremiah makes the worst mistake a boy can make, Belly is forced to question what she thought was true love. Does she rea",291,3.94,224027
331,"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,2020,"Alessandra is tired of being overlooked, but she has a plan to gain power:1)	Woo the Shadow King.2)	Marry him.3)	Kill him and take his kingdom for herself.No one knows the extent of the freshly crowned Shadow King’s power. Some say he can command the shadows that swirl around him to do his bidding. Others say they speak to him, whispering the thoughts of his enemies. Regar",326,3.89,128699
332,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,2008,"WHAT IF FOLLOWING HER HEART MEANS ROSE COULD LOSE HER BEST FRIEND FOREVER?Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend,",443,4.34,350550
333,"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase,1995,"DETERMINED LADY Tough-minded Jessica Trent's sole intention is to free her nitwit brother from the destructive influence of Sebastian Ballister, the notorious Marquess of Dain. She never expects to desire the arrogant, amoral cad. And when Dain's reciprocal passion places them in a scandalously compromising, and public, position, Jessica is left with no choice but to seek ",375,4.09,34076
334,"Geekerella (Once Upon a Con, #1)",Ashley Poston,2017,"Cinderella goes to the con in this fandom-fueled twist on the classic fairy tale.Part romance, part love letter to nerd culture, and all totally adorbs, Geekerella is a fairy tale for anyone who believes in the magic of fandom. Geek girl Elle Wittimer lives and breathes Starfield, the classic sci-fi series she grew up watching with her late father. So when she sees a cospl",320,3.93,59104
335,"Beyond the Highland Mist (Highlander, #1)",Karen Marie Moning,1999,"He would sell his warrior soul to possess her...An alluring laird...He was known throughout the kingdom as Hawk, legendary predator of the battlefield and the boudoir. No woman could refuse his touch, but no woman ever stirred his heart—until a vengeful fairy tumbled Adrienne de Simone out of modern-day Seattle and into medieval Scotland. Captive in a century not her own, ",375,3.96,69756
336,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley,2009,"The year is 1881. Meet the Mackenzie family—rich, powerful, dangerous, eccentric. A lady couldn't be seen with them without ruin. Rumors surround them—of tragic violence, of their mistresses, of their dark appetites, of scandals that set England and Scotland abuzz.  The youngest brother, Ian, known as the Mad Mackenzie, spent most of his young life in an asylum, and everyo",320,4.05,35753
337,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,2014,"In this dazzling and long-awaited conclusion to the acclaimed Mortal Instruments series, Clary and her friends fight the greatest evil they have ever faced: Clary's own brother.Sebastian Morgenstern is on the move, systematically turning Shadowhunter against Shadowhunter. Bearing the Infernal Cup, he transforms Shadowhunters into creatures out of nightmare, tearing apart f",725,4.4,350450
338,Heartless (Hardcover),Marissa Meyer,2016,"Long before she was the terror of Wonderland—the infamous Queen of Hearts—she was just a girl who wanted to fall in love.Catherine may be one of the most desired girls in Wonderland, and a favorite of the unmarried King of Hearts, but her interests lie elsewhere. A talented baker, all she wants is to open a shop with her best friend. But according to her mother, such a goa",464,4.08,151923
339,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,2014,"With Omega Point destroyed, Juliette doesn’t know if the rebels, her friends, or even Adam are alive. But that won’t keep her from trying to take down The Reestablishment once and for all. Now she must rely on Warner, the handsome commander of Sector 45. The one person she never thought she could trust. The same person who saved her life. He promises to help Juliette maste",421,4.45,262482
340,"Poison Study (Study, #1)",Maria V. Snyder,2005,"Choose: A quick death… or slow poison...About to be executed for murder, Yelena is offered an extraordinary reprieve. She'll eat the best meals, have rooms in the palace—and risk assassination by anyone trying to kill the Commander of Ixia.And so Yelena chooses to become a food taster. But the chief of security, leaving nothing to chance, deliberately feeds her Butterfly's",427,4.1,159309
341,Better Than the Movies (Hardcover),Lynn Painter,2021,"Liz Buxbaum has always known that Wes Bennett was not boyfriend material. You would think that her next-door neighbor would be a prince candidate for her romantic comedy fantasies, but Wes has only proven himself to be a pain in the butt, ever since they were little. Wes was the kid who put a frog in her Barbie Dreamhouse, the monster who hid a lawn gnome's severed head in",356,4.27,56775
342,"Thoughtless (Thoughtless, #1)",S.C. Stephens,2012,"For almost two years now, Kiera's boyfriend, Denny, has been everything she's ever wanted: loving, tender and endlessly devoted to her. When they head off to a new city to start their lives together, Denny at his dream job and Kiera at a top-notch university, everything seems perfect. Then an unforeseen obligation forces the happy couple apart.Feeling lonely, confused, and",530,4.09,138379
343,"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,2008,"
In this ""frighteningly addictive"" paranormal romance saga there's a war raging between vampires and their slayers. Here are the stories of a secret band of brothers like no other—six vampire warriors, defenders of their race. And now a dutiful twin must choose between two lives...
Fiercely loyal to the Black Dagger Brotherhood, Phury has sacrificed himself for the good ",560,4.11,113315
344,"Rhapsodic (The Bargainer, #1)",Laura Thalassa,2016,"Callypso Lillis is a siren with a very big problem, one that stretches up her arm and far into her past. For the last seven years she’s been collecting a bracelet of black beads up her wrist, magical IOUs for favors she’s received. Only death or repayment will fulfill the obligations. Only then will the beads disappear.Everyone knows that if you need a favor, you go to the",326,3.98,88341
345,"Him (Him, #1)",Sarina Bowen,2015,"They don’t play for the same team. Or do they?Jamie Canning has never been able to figure out how he lost his closest friend. Four years ago, his tattooed, wise-cracking, rule-breaking roommate cut him off without an explanation. So what if things got a little weird on the last night of hockey camp the summer they were eighteen? It was just a little drunken foolishness. No",360,4.29,47672
346,"The Next Always (Inn BoonsBoro Trilogy, #1)",Nora Roberts,2011,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it’s getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there’s another project he’s got his eye on: the girl he’s been wait",352,4.12,79935
347,"Savor the Moment (Bride Quartet, #3)",Nora Roberts,2010,"Wedding baker Laurel McBane is surrounded by romance working at Vows wedding planning company with her best friends Parker, Emma, and Mac. But she's too low-key to appreciate all the luxuries that their clients seem to long for. What she does appreciate is a strong, intelligent man, a man just like Parker's older brother Delaney, on whom she's had a mega-crush since childh",9,4.14,55327
348,"The Kiss of Deception (The Remnant Chronicles, #1)",Mary E. Pearson,2014,"In a society steeped in tradition, Princess Lia’s life follows a preordained course. As First Daughter, she is expected to have the revered gift of sight—but she doesn’t—and she knows her parents are perpetrating a sham when they arrange her marriage to secure an alliance with a neighboring kingdom—to a prince she has never met.On the morning of her wedding, Lia flees to a",492,3.96,116655
349,Stardust (Paperback),Neil Gaiman,1998,"Alternate cover edition can be found hereYoung Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky. But to do so, he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name. Beyond that old stone wall, Tristran learns, lies Faerie—where no",248,4.09,411601
350,Where the Crawdads Sing (ebook),Delia Owens,2018,"For years, rumors of the “Marsh Girl” haunted Barkley Cove, a quiet fishing village. Kya Clark is barefoot and wild; unfit for polite society. So in late 1969, when the popular Chase Andrews is found dead, locals immediately suspect her.But Kya is not what they say. A born naturalist with just one day of school, she takes life's lessons from the land, learning the real way",384,4.44,2121637
351,"A Hunger Like No Other (Immortals After Dark, #1)",Kresley Cole,2006,"In New York Times and USA TODAY bestselling author Kresley Cole’s sizzling series, a fierce werewolf and a bewitching vampire become unlikely soul mates whose passion will test the boundaries of life and death.After enduring years of torture from the vampire horde, Lachlain MacRieve, leader of the Lykae Clan, is enraged to find the predestined mate he’s waited millennia fo",360,4.12,78645
352,"Love in the Afternoon (The Hathaways, #5)",Lisa Kleypas,2010,"
She harbors a secret yearning.
As a lover of animals and nature, Beatrix Hathaway has always been more comfortable outdoors than in the ballroom. Even though she participated in the London season in the past, the classic beauty and free-spirited Beatrix has never been swept away or seriously courted . . . and she has resigned herself to the fate of never finding love. H",332,4.2,44436
353,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,2012,"“There are only two reasons a non-seer would see a spirit on St. Mark’s Eve,” Neeve said. “Either you’re his true love . . . or you killed him.”It is freezing in the churchyard, even before the dead arrive.Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue herself never sees them—not until this year, when a boy emerges fro",409,4.05,332644
354,"The Fiery Cross (Outlander, #5)",Diana Gabaldon,2001,"The year is 1771, and war is coming. Jamie Fraser’s wife tells him so. Little as he wishes to, he must believe it, for hers is a gift of dreadful prophecy—a time-traveler’s certain knowledge. Claire’s unique view of the future has brought him both danger and deliverance in the past; her knowledge of the oncoming revolution is a flickering torch that may light his way throu",1443,4.24,195915
355,"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,2022,"Nothing like a little rivalry between scientists to take love to the next level.Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract and rivals make you burn… Logically, Sadie knows that ci",127,3.71,48423
356,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,2008,"
He'd tried so hard to forget her.
Kev Merripen has longed for the beautiful, well-bred Winnifred Hathaway ever since her family rescued him from the brink of death when he was just a boy. But this handsome Gypsy is a man of mysterious origins—and he fears that the darkness of his past could crush delicate, luminous Win. So Kev refuses to submit to temptation . . . and b",360,4.07,39570
357,"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,2014,"▶ 
Alternative Cover Edition #1
The capital has fallen.The Darkling rules Ravka from his shadow throne.Now the nation's fate rests with a broken Sun Summoner, a disgraced tracker, and the shattered remnants of a once-great magical army.Deep in an ancient network of tunnels and caverns, a weakened Alina must submit to the dubious protection of the Apparat and the zealots ",422,4.02,414245
358,"Happy Ever After (Bride Quartet, #4)",Nora Roberts,2010,"Childhood friends Mackensie, Parker, Laurel and Emmaline have formed a very successful wedding-planning business together. While helping thousands of happy couples to organise the biggest day of their lives, three of the four women have all found love themselves - but workaholic Parker remains resolutely single. Her business is her life and she devotes all her energies to ",333,4.18,57059
359,"Onyx (Lux, #2)",Jennifer L. Armentrout,2012,"BEING CONNECTED TO DAEMON BLACK SUCKS… Thanks to his alien mojo, Daemon’s determined to prove what he feels for me is more than a product of our bizarro connection. So I’ve sworn him off, even though he’s running more hot than cold these days. But we’ve got bigger problems.SOMETHING WORSE THAN ARUM HAS COME TO TOWN The Department of Defense is here. If they ever find out w",421,4.25,171763
360,"The Wallflower Wager (Girl Meets Duke, #3)",Tessa Dare,2019,"
They call him the Duke of Ruin.To an undaunted wallflower, he's just the beast next door.
Wealthy and ruthless, Gabriel Duke clawed his way from the lowliest slums to the pinnacle of high society—and now he wants to get even.Loyal and passionate, Lady Penelope Campion never met a lost or wounded creature she wouldn’t take into her home and her heart.When her imposing—an",368,3.97,24959
361,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,2020,"The year is 1926, and Shanghai hums to the tune of debauchery.A blood feud between two gangs runs the streets red, leaving the city helpless in the grip of chaos. At the heart of it all is eighteen-year-old Juliette Cai, a former flapper who has returned to assume her role as the proud heir of the Scarlet Gang—a network of criminals far above the law. Their only rivals in ",449,3.96,95723
362,"Austenland (Austenland, #1)",Shannon Hale,2007,"Jane is a young New York woman who can never seem to find the right man-perhaps because of her secret obsession with Mr. Darcy, as played by Colin Firth in the BBC adaptation of ""Pride and Predjudice."" When a wealthy relative bequeaths her a trip to an English resort catering to Austen-obsessed women, however, Jane's fantasies of meeting the perfect Regency-era gentleman s",197,3.55,86635
363,The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,2008," #1 NEW YORK TIMES BESTSELLER - NOW A MAJOR MOTION PICTURE ON NETFLIX - A remarkable tale of the island of Guernsey during the German Occupation, and of a society as extraordinary as its name. ""I wonder how the book got to Guernsey? Perhaps there is some sort of secret homing instinct in books that brings them to their perfect readers."" January 1946: London is emerging fro",291,4.18,698006
364,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,"Becky has a fabulous flat in London's trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season's must-haves. The only trouble is that she can't actually afford it–not any of it.Her job writing at Successful Savings not only bores her to tears, it doesn't pay much at all. And lately Becky's been chased by dismal letters from the",368,3.68,705542
365,Norwegian Wood (Paperback),Haruki Murakami,1987,"Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual passion is marked by the tragic death of their best friend years before. Toru begins to adapt to campus life and the loneliness and isolation he faces there, but Naoko finds the pressures and responsibilities of life unb",296,4.03,490161
366,"On the Island (On the Island, #1)",Tracey Garvis Graves,2011,"When thirty-year-old English teacher Anna Emerson is offered a job tutoring T.J. Callahan at his family's summer rental in the Maldives, she accepts without hesitation; a working vacation on a tropical island trumps the library any day.T.J. Callahan has no desire to leave town, not that anyone asked him. He's almost seventeen and if having cancer wasn't bad enough, now he ",328,4.11,81213
367,Let it Snow (Kindle Edition),John Green,2008,"A Christmas Eve snowstorm transforms one small town into a romantic haven, the kind you see only in movies. Well, kinda. After all, a cold and wet hike from a stranded train through the middle of nowhere would not normally end with a delicious kiss from a charming stranger. And no one would think that a trip to the Waffle House through four feet of snow would lead to love ",353,3.71,136871
368,"A Rogue of One's Own (A League of Extraordinary Women, #2)",Evie Dunmore,2020,"Lady Lucie is fuming. She and her band of Oxford suffragists have finally scraped together enough capital to control one of London’s major publishing houses, with one purpose: to use it in a coup against Parliament. But who could have predicted that the one person standing between her and success is her old nemesis, Lord Ballentine? Or that he would be willing to hand over",448,4.03,30188
369,"The Road Trip (The Road Trip, #1)",Beth O'Leary,2021,"Addie and her sister are about to embark on an epic road trip to a friend's wedding in the north of Scotland. The playlist is all planned and the snacks are packed.But, not long after setting off, a car slams into the back of theirs. The driver is none other than Addie's ex, Dylan, who she's avoided since their traumatic break-up two years earlier.Dylan and his best mate a",414,3.61,63228
370,"The Wedding (The Notebook, #2)",Nicholas Sparks,2003,"After thirty years of marriage, Wilson Lewis, son-in-law of Allie and Noah Calhoun (of The Notebook), is forced to admit that the romance has gone out of his marriage. Desperate to win back his wife, Jane's, heart, he must figure out how to make her fall in love with him... again. Despite the shining example of Allie and Noah's marriage, Wilson is himself a man unable to e",276,3.98,151092
371,The Best of Me (Hardcover),Nicholas Sparks,2010,"In the spring of 1984, high school students Amanda Collier and Dawson Cole fell deeply, irrevocably in love. But as the summer of their senior year came to a close, unforeseen events would tear the young couple apart, setting them on radically divergent paths.Now, twenty-five years later, Amanda and Dawson are summoned back to Oriental for the funeral of Tuck Hostetler, th",292,3.96,161814
372,The Choice (Kindle Edition),Nicholas Sparks,2007,"#1 New York Times bestseller Nicholas Sparks turns his unrivaled talents to a new tale about love found and lost, and the choices we hope we'll never have to make.Travis Parker has everything a man could want: a good job, loyal friends, even a waterfront home in small-town North Carolina. In full pursuit of the good life - boating, swimming , and regular barbecues with his",325,4.0,166400
373,The Honey-Don't List (Paperback),Christina Lauren,2020,"Carey Douglas has worked for home remodeling and design gurus Melissa and Rusty Tripp for nearly a decade. A country girl at heart, Carey started in their first store at sixteen, and—more than anyone would suspect—has helped them build an empire. With a new show and a book about to launch, the Tripps are on the verge of superstardom. There’s only one problem: America’s fav",308,3.52,51909
374,"Naked in Death (In Death, #1)",J.D. Robb,1995,"Here is the novel that started it all- the first book in J.D. Robb's number-one New York Times-bestselling In Death series, featuring New York homicide detective Lieutenant Eve Dallas and Roarke.  It is the year 2058, and technology now completely rules the world. But New York City Detective Eve Dallas knows that the irresistible impulses of the human heart are still ruled",306,4.12,181828
375,To Love Jason Thorn (Kindle Edition),Ella Maise,2015,"Jason Thorn… My brother’s childhood friend.  Oh, how stupidly in love with that boy I was. He was the first boy that made me blush, my first official crush. Sounds beautiful so far, right? That excitement that bubbles up inside you, those famous butterflies you feel for the very first time—he was the reason for them all. But, you only get to live in that fairytale world un",428,3.85,79607
376,Under Locke (Kindle Edition),Mariana Zapata,2014,"He was my boss, my brother’s friend, a Widower, an ex-felon, and a man I’d seen casually with a handful of women. But he was everything that gripped me, both the good and the bad. Worst case scenario if things turned awkward between us, I could go somewhere else. I’d gotten over epic heartbreak before, one more wouldn’t kill me. After moving to Austin following six months ",497,3.98,70425
377,"Blood Promise (Vampire Academy, #4)",Richelle Mead,2009,"Bound by love, but sworn to kill...The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.Guardian Rose Hathaway's life will never be the same. The recent attack on St. V",503,4.31,299530
378,"Tempt Me at Twilight (The Hathaways, #3)",Lisa Kleypas,2009,"
He was everything she'd sworn to avoid.
Poppy Hathaway loves her unconventional family, though she longs for normalcy. Then fate leads to a meeting with Harry Rutledge, an enigmatic hotel owner and inventor with wealth, power, and a dangerous hidden life. When their flirtation compromises her own reputation, Poppy shocks everyone by accepting his proposal—only to find t",373,4.17,41823
379,Kiss an Angel (Paperback),Susan Elizabeth Phillips,1996,"
Wedding Day
Pretty, flighty Daisy Devreaux can either go to jail or marry the mystery man her father has chosen for her. Arranged marriages don't happen in the modern world, so how did the irrepressible Daisy find herself in this fix?Alex Markov, as humorless as he is deadly handsome, has no intention of playing the loving bridegroom to a spoiled little feather-head wit",384,4.19,58552
380,"Captive Prince (Captive Prince, #1)",C.S. Pacat,2013,"From global phenomenon C. S. Pacat comes the first in her critically acclaimed trilogy—with a bonus story.Damen is a warrior hero to his people, and the rightful heir to the throne of Akielos. But when his half brother seizes power, Damen is captured, stripped of his identity, and sent to serve the prince of an enemy nation as a pleasure slave.Beautiful, manipulative, and ",240,3.81,79264
381,Maybe in Another Life (Paperback),Taylor Jenkins Reid,2015,"Alternate cover edition of ISBN 9781476776880From the acclaimed author of Forever, Interrupted and After I Do comes a breathtaking new novel about a young woman whose fate hinges on the choice she makes after bumping into an old flame; in alternating chapters, we see two possible scenarios unfold—with stunningly different results.At the age of twenty-nine, Hannah Martin st",342,3.81,120415
382,The Kiss Thief (Paperback),L.J. Shen,2019,They say your first kiss should be earned.  Mine was stolen by a devil in a masquerade mask under the black Chicago sky.  They say the vows you take on your wedding day are sacred.  Mine were broken before we left church.  They say your heart only beats for one man.  Mine split and bled for two rivals who fought for it until the bitter end.  I was promised to Angelo Bandin,320,3.94,76731
383,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,2019,"An alternative cover edition for this ISBN can be found here.Fall in love, break the curse.Cursed by a powerful enchantress to repeat the autumn of his eighteenth year, Prince Rhen, the heir of Emberfall, thought he could be saved easily if a girl fell for him. But that was before he turned into a vicious beast hell-bent on destruction. Before he destroyed his castle, his ",484,4.03,122780
384,"Married by Morning (The Hathaways, #4)",Lisa Kleypas,2010,"
He's everything she wants to avoid.
For two years, Catherine Marks has been a paid companion to the Hathaway sisters—a pleasant position, with one caveat. Her charges' older brother, Leo Hathaway, is thoroughly exasperating. Cat can hardly believe that their constant arguing could mask a mutual attraction. But when one quarrel ends in a sudden kiss, Cat is shocked at he",341,4.14,39467
385,"Pestilence (The Four Horsemen, #1)",Laura Thalassa,2018,"They came to earth--Pestilence, War, Famine, Death--four horsemen riding their screaming steeds, racing to the corners of the world. Four horsemen with the power to destroy all of humanity. They came to earth, and they came to end us all.When Pestilence comes for Sara Burn’s town, one thing is certain: everyone she knows and loves is marked for death. Unless, of course, th",381,3.92,62447
386,"The Risk (Briar U, #2)",Elle Kennedy,2019,"THE RISK takes you back to the world of hot hockey players, feisty heroines, bro banter, and steamy scenes... Everyone says I’m a bad girl. They’re only partly right—I don’t let fear rule me, and I certainly don’t care what people think. But I draw the line at sleeping with the enemy. As the daughter of Briar’s head hockey coach, I’d be vilified if I hooked up with a playe",432,4.28,87793
387,"One Good Earl Deserves a Lover (The Rules of Scoundrels, #2)",Sarah MacLean,2013,"The second in the incredible new Rules of Scoundrels series from New York Times bestselling author Sarah MacLean. Lady Philippa Marbury is odd. The bespectacled, brilliant fourth daughter of the Marquess of Needham and Dolby cares more for books than balls, flora than fashion and science than the season. Nearly engaged to Lord Castleton, Pippa wants to explore the scandalo",376,4.03,29368
388,"Beastly (Beastly, #1; Kendra Chronicles, #1)",Alex Flinn,2007,"I am a beast.A beast. Not quite wolf or bear, gorilla or dog but a horrible new creature who walks upright—a creature with fangs and claws and hair springing from every pore. I am a monster.You think I'm talking fairy tales? No way. The place is New York City. The time is now. It's no deformity, no disease. And I'll stay this way forever—ruined—unless I can break the spell",336,3.83,174950
389,"Marrying Winterborne (The Ravenels, #2)",Lisa Kleypas,2016,"
A ruthless tycoon.
Savage ambition has brought common-born Rhys Winterborne vast wealth and success. In business and beyond, Rhys gets exactly what he wants. And from the moment he meets the shy, aristocratic Lady Helen Ravenel, he is determined to possess her. If he must take her virtue to ensure she marries him, so much the better . . .
A sheltered beauty.
Helen has",380,4.11,35087
390,"The Dating Plan (Marriage Game, #2)",Sara Desai,2021,"Daisy Patel is a software engineer who understands lists and logic better than bosses and boyfriends. With her life all planned out, and no interest in love, the one thing she can't give her family is the marriage they expect. Left with few options, she asks her childhood crush to be her decoy fiance.Liam Murphy is a venture capitalist with something to prove. When he lear",352,3.66,34929
391,Honey Girl (Kindle Edition),Morgan  Rogers,2021,"With her newly completed PhD in astronomy in hand, twenty-eight-year-old Grace Porter goes on a girls’ trip to Vegas to celebrate. She is not the kind of person who goes to Vegas and gets drunkenly married to a woman whose name she doesn’t know…until she does exactly that.This one moment of departure from her stern ex-military father’s plans for her life has Grace wonderin",241,3.74,33312
